GardenCity-1,"LEGO Store Grand Opening Exclusive Set, Roosevelt Field Mall, Garden City, NY",2010,408,88
K8685-1,Phantoka Collection,2008,339,6
080-1,Basic Building Set with Train,1967,366,712
30015-1,Jet Ski,2011,59,24
60216-1,Downtown Fire Brigade,2019,52,942
6538-1,Rebel Roadster,1994,85,57
70352-1,Jestro's Headquarters,2017,605,840
709-1,Police Boat,1978,363,48
7846-1,Dragon Tournament,2006,647,42
8239-1,Cyber Challenge,1998,3,121
8616-2,Vahki Vorzakh Limited Edition with Movie Edition Vahi and Disk Of Time,2004,357,33
1845-1,20th Anniversary Jackpot Bucket,1993,469,719
2625-1,Car with Boat and Trailer,1980,632,7
2784-1,Mother and Baby,1994,652,3
41131-1,Advent Calendar 2016 Friends,2016,216,234
5001267-1,8 stud Yellow Storage Brick,2014,501,0
5401-1,Kitchen Accessories,1997,451,17
6989-1,Mega Core Magnetizer,1990,136,508
70672-1,Cole's Dirt Bike,2019,435,220
71000-18,Minifigure Series 9 (Box of 60),2013,544,60
76021-1,The Milano Spaceship Rescue,2014,483,665
7670-2,Hailfire Droid & Spider Droid Clone Wars White Box,2008,165,249
8446-1,Crane Truck,1999,7,572
853637-1,Upscaled Mug Black,2017,501,0
853769-1,Han Solo Key Chain,2018,503,0
8595-1,Takua and Pewku,2003,347,221
8803-9,Elf - Complete Set,2011,538,8
8825-1,Night Chopper,1991,6,113
891951-1,Nya Foil Pack,2019,435,9
918-tclear-2,21 Trans-Clear 2x4 Bricks,1969,371,21
9320-1,Voyage into Space,2003,527,637
9702-1,Control System Building Set,1993,507,222
swminifigs-1,Star Wars Minifig Packs 4-Pack,2000,170,4
1217-2,2 x 4 Bricks,1955,371,52
2000425-1,LegoLME EV3 Workshop Kit,2013,518,117
2893-1,Boy With Ghost,1998,505,3
30064-4,Zoo - Turtle,2012,632,4
30472-1,Parrot,2016,22,43
31096-1,Twin-Rotor Helicopter,2019,22,569
41013-1,Emma's Sports Car,2013,494,163
6222-1,Core Hunter,2012,403,51
66239-1,City Super Pack 4 in 1 (7898 7997 7895 7896),2007,240,4
66255-1,City Super Pack 6 in 1 (7235 7236 7741 7890 7942 7945),2008,52,0
66397-1,Technic Super Pack 4 in 1,2011,1,4
700.C.1-1,Individual 1 x 6 x 4 Panorama Window (with glass),1954,371,4
71021-17,Unicorn Guy,2018,622,9
76038-1,Attack on Avengers Tower,2015,487,515
850950-1,Christmas Cat Ornament,2014,228,34
8804-2,Kimono Girl - Complete Set,2011,539,6
10061-1,Black Plates 1 x n,2002,254,84
10068-1,Santa Claus,2002,227,39
2831-1,The Toadstools,1999,660,11
30051-1,X-wing Fighter - Mini,2010,163,61
3532-1,Jet-Ski,1998,480,27
42071-1,Dozer Compactor,2018,7,171
618-1,Police Helicopter,1977,421,38
6523-1,Red Cross,1987,78,51
6760-1,Read & Build Let's Go Vroom,2012,504,13
6921-1,Monorail Accessory Track,1988,132,46
70232-1,Sabre Tooth Tiger Pack,2015,571,74
8706-1,Karzon,2006,198,44
9132-1,Community Transport Set,2004,516,49
9238-1,Farm Animals,2005,516,43
9780723278085-1,City: Christmas Caper,2013,497,11
Berlin-1,"LEGO Store Grand Opening Exclusive Set, Berlin, Germany",2009,408,69
Lynnwood-1,"LEGO Store Grand Opening Exclusive Set, Alderwood Mall, Lynnwood, WA",2012,408,8
30022-1,Bee,2011,22,23
3506-1,Motorbike,1999,480,26
5002773-1,Legends of Chima: Brickmaster: The Quest for CHI,2013,497,187
5054-1,Decorated Elements,1993,443,28
530-2,Puppy,1976,505,10
561902-1,Shop with Costumes,2019,494,30
6355-1,Derby Trotter,1989,83,142
6525-1,Blaze Commander,1995,74,49
7423-2,Mountain Sleigh (Kabaya Promotional),2003,300,30
7444-1,Sporty's Gym Cart,2004,661,0
852747-1,Battle Pack Pirates,2009,153,42
9781465445940-1,Ultimate Sticker Collection: Nexo Knights,2016,497,0
TANTIVE-IV-1,Tantive IV,2019,169,56
10545-1,Batcave Adventure,2014,653,59
1114-1,Motor Frame,1977,443,1
1644-2,"Lego Motion 4A, Wind Whirler - International version",1994,468,17
2191-1,Furno 3.0,2011,401,28
2662-1,Crocodile and Sea Lion,1990,632,15
2851-1,Medium Dino Bucket,1997,658,31
3048-2,Medium Idea Bucket,2000,505,51
3410-1,Field Expander,2000,462,52
3428-1,One vs One Action,2003,459,39
40116-1,Hero Factory Promo,2014,400,31
41123-1,Foal's Washing Station,2016,494,85
41337-1,Underwater Loop,2019,494,388
5159-1,Straight Runways,1990,454,2
521-13,1 x 1 and 1 x 2 Plates - Trans-Clear (architectural hobby und modelbau version),1962,252,82
60158-1,Jungle Cargo Helicopter,2017,614,201
6405-1,Sunset Stables,1992,90,132
66225-1,Gift Set,2007,389,2
7242-1,Street Sweeper,2005,63,64
7882-1,Shark Attack,2006,651,12
853768-1,Landspeeder Bag Charm,2018,503,0
991329-1,7-Stud Axles (Pack of 50),2007,525,50
132-2,Port Crane and Flat Waggon,1972,235,58
